Year,Occupancy,lower_cl,upper_cl
2011,0.988372203502248,0.988372093023256,0.988372093023256
2012,0.957032405366468,0.837209302325582,1
2013,0.938105128220476,0.790697674418605,1
2014,0.984830032639883,0.930232558139535,1
2015,0.9383441368173,0.837209302325582,1
2016,0.962183690297073,0.86046511627907,1
2017,0.952342553218983,0.895348837209302,1
2018,0.942047676574704,0.825581395348837,1
2019,0.90412068997417,0.662790697674419,1
2021,0.935049542162329,0.872093023255814,0.988372093023256
2022,0.953001174053954,0.872093023255814,1
2023,0.964724176166497,0.918604651162791,1
2024,0.808246938268776,0.674418604651163,1
