Year,Occupancy,lower_cl,upper_cl
2011,0.988640384685573,0.988372093023256,1
2012,0.999936463249633,1,1
2013,1,1,1
2014,1,1,1
2015,1,1,1
2016,1,1,1
2017,1,1,1
2018,1,1,1
2019,1,1,1
2021,1,1,1
2022,1,1,1
2023,1,1,1
2024,0.999999999999914,1,1
